text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"เซลล์ประสาทในร่างกายมนุษย์ส่งสัญญาณติดต่อกันผ่านช่องว่างจิ๋วที่เรียกว่าอะไร?","นิวเคลียส|ไซแนปส์|แอกซอน|เดนไดรต์","ไซแนปส์","Synapse","วิทยาศาสตร์","level-4|health",4,15,15,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"สัตว์ชนิดใดมีระบบ 'เรดาร์ธรรมชาติ' (Echolocation) ในการหาทิศทางและอาหาร?","นกฮูก|ค้างคาว|สุนัขจิ้งจก|แมว","ค้างคาว","ใช้เสียงสะท้อนกลับ","สัตว์โลก","level-2|animal",2,5,5,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"ประเทศใดเป็นแหล่งกำเนิดของอารยธรรม 'สุเมเรียน' (Sumerian)?","อียิปต์|อิรัก|อินเดีย|เม็กซิโก","อิรัก","ลุ่มแม่น้ำไทกริส-ยูเฟรทีส","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"ก๊าซชนิดใดถูกนำมาใช้ใน 'เครื่องตรวจจับควัน' (Smoke Detector) บางรุ่น?","ไนโตรเจน|อาร์กอน|อเมริเซียม (ไอโซโทป)|ไฮโดรเจน","อเมริเซียม (ไอโซโทป)","Americium-241","เทคโนโลยี","level-5|science",5,20,20,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"จังหวัดใดในประเทศไทยที่มีทางรถไฟสายสั้นที่สุด (แม่กลอง-บ้านแหลม)?","นนทบุรี|สมุทรสาคร|นครปฐม|ฉะเชิงเทรา","สมุทรสาคร","ตลาดร่มหุบ","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"ใครคือผู้ประดิษฐ์ 'เครื่องนึ่งฆ่าเชื้อ' (Autoclave) คนแรก?","หลุยส์ ปาสเตอร์|ชาร์ลส์ แชมเบอร์แลนด์|มารี คูรี|เอดิสัน","ชาร์ลส์ แชมเบอร์แลนด์","Charles Chamberland (1879)","ความรู้ทั่วไป","level-5|world",5,20,20,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'W' และใช้ทำไส้หลอดไฟ?","วานาเดียม|วูลแฟรม (ทังสเตน)|ทองคำ|เงิน","วูลแฟรม (ทังสเตน)","Wolfram","วิทยาศาสตร์","level-4|chemistry",4,15,15,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"สัตว์ชนิดใดมีดวงตาขนาดใหญ่ที่สุดในโลก (ใหญ่เท่าลูกบาสเกตบอล)?","วาฬสีน้ำเงิน|ปลาหมึกยักษ์โคลอสซัล|ฉลามขาว|ช้าง","ปลาหมึกยักษ์โคลอสซัล","Colossal Squid","สัตว์โลก","level-4|animal",4,15,15,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"เมืองหลวงของประเทศคูเวตคือเมืองใด?","โดฮา|มานามา|คูเวตซิตี|มัสกัต","คูเวตซิตี","Kuwait City","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
"ใครคือพระบิดาแห่ง 'การสหกรณ์ไทย'?","รัชกาลที่ 5|กรมหมื่นพิทยาลงกรณ์|รัชกาลที่ 6|สุนทรภู่","กรมหมื่นพิทยาลงกรณ์","พระองค์เจ้ารัชนีแจ่มจรัส (น.ม.ส.)","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T22:15:00.000Z,2026-04-09T22:15:00.000Z
