text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"ในร่างกายมนุษย์ 'เซลล์ประสาท' ชนิดใดทำหน้าที่นำคำสั่งจากสมองไปยังกล้ามเนื้อ?","เซลล์ประสาทรับความรู้สึก|เซลล์ประสาทสั่งการ|เซลล์ประสาทประสานงาน|แอกซอน","เซลล์ประสาทสั่งการ","Motor Neuron","วิทยาศาสตร์","level-4|health",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"สัตว์ชนิดใดมี 'หัวใจ' ทั้งหมด 3 ดวง และเลือดมีสีน้ำเงิน?","ฉลาม|ปลาหมึกยักษ์|วาฬ|โลมา","ปลาหมึกยักษ์","Octopus","สัตว์โลก","level-4|animal",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ประเทศใดมีพื้นที่ตั้งอยู่บน '2 ทวีป' (เอเชียและยุโรป) นอกจากรัสเซีย?","อียิปต์|ตุรกี|คาซัคสถาน|ตุรกีและคาซัคสถาน (ไม่ใช่ตัวเลือกเดี่ยว)|ตุรกี","ตุรกี","Turkey (มีฝั่งอนาโตเลียและฝั่งเทรซ)","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือพระมหากษัตริย์ที่ทรงริเริ่มการใช้ 'นามสกุล' ในประเทศไทย?","รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 6|รัชกาลที่ 7","รัชกาลที่ 6","พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Sn' และมักใช้ทำแผ่นสังกะสีมุงหลังคา (แต่ชื่อจริงไม่ใช่)?","สังกะสี|ดีบุก|อลูมิเนียม|เหล็ก","ดีบุก","Stannum","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"จังหวัดใดในประเทศไทยมีภูมิศาสตร์เป็น 'แหลม' ยื่นไปในอ่าวไทยและมีชื่อเสียงเรื่องอาหารทะเล?","ประจวบคีรีขันธ์|ระยอง|ชลบุรี|ตราด","ชลบุรี","แหลมฉบัง","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ใครคือผู้ประดิษฐ์ 'ลิฟต์' ที่มีระบบความปลอดภัยป้องกันการร่วงหล่นคนแรก?","เอดิสัน|เอลิชา โอทิส|เกรแฮม เบลล์|เฮนรี ฟอร์ด","เอลิชา โอทิส","Elisha Otis","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"สารในข้อใดคือ 'น้ำตาลในเลือด' ที่ร่างกายนำไปใช้เป็นพลังงานหลัก?","ซูโครส|แลคโตส|กลูโคส|ฟรุกโตส","กลูโคส","Glucose","สุขภาพ","level-2|health",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ประเทศใดเป็นแหล่งกำเนิดของอารยธรรม 'อินคา' (Inca) ในอเมริกาใต้?","บราซิล|เปรู|ชิลี|อาร์เจนตินา","เปรู","Machu Picchu ตั้งอยู่ที่นี่","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"หน่วยวัดความบริสุทธิ์ของ 'ทองคำ' เรียกว่าอะไร?","กะรัต|กิโลกรัม|กรัม|ปอนด์","กะรัต","Karat (24K)","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"สัตว์น้ำชนิดใดที่หายใจด้วย 'ปอด' และออกลูกเป็นตัว?","ฉลาม|โลมา|กระเบน|ปลาทูน่า","โลมา","Dolphin เป็นสัตว์เลี้ยงลูกด้วยนม","สัตว์โลก","level-2|animal",2,5,5,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
"ก๊าซชนิดใดถูกใช้ใน 'ถุงลมนิรภัย' รถยนต์เพื่อความรวดเร็วในการพองตัว?","ออกซิเจน|ไนโตรเจน|คาร์บอนไดออกไซด์|อาร์กอน","ไนโตรเจน","ขยายตัวเร็วและไม่ติดไฟ","เทคโนโลยี","level-5|science",5,20,20,2026-04-09T22:30:00.000Z,2026-04-09T22:30:00.000Z
