text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อวัยวะใดทำหน้าที่เป็นแหล่งพลังงานและกำจัดสารพิษในร่างกาย?","ไต|ตับ|หัวใจ|ปอด","ตับ","Liver","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"สัตว์ชนิดใดเป็นสัญลักษณ์ของประเทศจีนและกินไผ่เป็นอาหารหลัก?","หมีกริซลี่|หมีแพนด้า|เสือโคร่ง|ลิงชิมแปนซี","หมีแพนด้า","Panda","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"จังหวัดใดเป็นที่ตั้งของวัดพระศรีรัตนมหาธาตุ (พระพุทธชินราช)?","เชียงใหม่|อยุธยา|พิษณุโลก|สุโขทัย","พิษณุโลก","เมืองสองแคว","ความรู้ทั่วไป","level-2|thai",2,5,5,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"ใครคือบิดาแห่งการแพทย์แผนไทย?","ชีวกโกมารภัจจ์|รัชกาลที่ 5|สุนทรภู่|พระพุทธเจ้า","ชีวกโกมารภัจจ์","แพทย์ประจำพระองค์พระพุทธเจ้า","ประวัติศาสตร์","level-2|thai",2,5,5,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Na'?","ไนโตรเจน|นีออน|โซเดียม|เหล็ก","โซเดียม","Natrium (เกลือแกง)","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"แม่น้ำที่ยาวที่สุดในทวีปเอเชียคือแม่น้ำใด?","แม่น้ำโขง|แม่น้ำคงคา|แม่น้ำแยงซี|แม่น้ำเหลือง","แม่น้ำแยงซี","ไหลผ่านประเทศจีน","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"ใครวาดภาพจิตรกรรมฝาผนัง 'The Creation of Adam' บนเพดานโบสถ์ซิสทีน?","ดา วินชี|ไมเคิลแองเจโล|ราฟาเอล|โมเนต์","ไมเคิลแองเจโล","Michelangelo","ศิลปะ","level-3|world",3,10,10,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"หน่วยวัดความกดอากาศคืออะไร?","พาสคัล|มิลลิเมตรปรอท|องศาเซลเซียส|เดซิเบล","มิลลิเมตรปรอท","ใช้ในบารอมิเตอร์","วิทยาศาสตร์","level-3|science",3,10,10,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"กีฬาใดที่ใช้ 'ลูกขนไก่' ในการแข่งขัน?","เทนนิส|ปิงปอง|แบดมินตัน|วอลเลย์บอล","แบดมินตัน","Badminton","กีฬา","level-1|sport",1,1,1,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"จังหวัดที่ 77 ของประเทศไทยคือจังหวัดใด?","หนองบัวลำภู|อำนาจเจริญ|สระแก้ว|บึงกาฬ","บึงกาฬ","แยกมาจากหนองคาย","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"ใครคือคนแรกที่เสนอทฤษฎีว่าโลกโคจรรอบดวงอาทิตย์ (Heliocentrism)?","กาลิเลโอ|นิโคลัส โคเปอร์นิคัส|ไอแซก นิวตัน|เคปเลอร์","นิโคลัส โคเปอร์นิคัส","นักดาราศาสตร์ชาวโปแลนด์","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
"ธาตุโลหะชนิดใดที่เป็นของเหลวที่อุณหภูมิห้อง?","เหล็ก|ทองแดง|ปรอท|เงิน","ปรอท","Mercury","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:35:00.000Z,2026-04-09T22:35:00.000Z
