text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"ใครคือผู้ประดิษฐ์ 'World Wide Web' (WWW) เป็นคนแรกของโลก?","บิล เกตส์|ทิม เบอร์เนอร์ส-ลี|สตีฟ จอบส์|มาร์ก ซักเคอร์เบิร์ก","ทิม เบอร์เนอร์ส-ลี","Tim Berners-Lee (1989)","เทคโนโลยี","level-4|world",4,15,15,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"พืชชนิดใดในป่าชายเลนที่มี 'รากค้ำจุน' (Prop Root) แตกแขนงออกจากลำต้นเพื่อพยุงตัวในดินเลน?","ลำพู|ตะบูน|โกงกาง|แสม","โกงกาง","Rhizophora","พฤกษศาสตร์","level-2|nature",2,5,5,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"ในร่างกายมนุษย์ 'ตับอ่อน' (Pancreas) ทำหน้าที่หลักในการสร้างฮอร์โมนชนิดใด?","อดรีนาลีน|อินซูลิน|เมลาโทนิน|คอร์ติซอล","อินซูลิน","Insulin ควบคุมระดับน้ำตาล","สุขภาพ","level-3|health",3,10,10,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"ใครคือพระมหากษัตริย์ไทยที่ทรงประกาศใช้ 'พุทธศักราช' (พ.ศ.) เป็นทางการแทน ร.ศ.?","รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 6|รัชกาลที่ 7","รัชกาลที่ 6","เริ่มใช้ในปี พ.ศ. 2455","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Cu' และนิยมใช้ทำสายไฟ?","เงิน|ทองคำ|ทองแดง|อลูมิเนียม","ทองแดง","Cuprum","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"จังหวัดใดในประเทศไทยมีแหล่งประวัติศาสตร์ 'ปราสาทหินวัดพู' (อยู่ฝั่งสปป.ลาวแต่เข้าได้จากจังหวัดนี้ในอดีต)?","อุบลราชธานี|ศรีสะเกษ|สุรินทร์|มุกดาหาร","อุบลราชธานี","Ubon Ratchathani","ภูมิศาสตร์","level-4|thai",4,15,15,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"ใครคือผู้ประดิษฐ์ 'กล้องถ่ายรูป' แบบดิจิทัลคนแรกของโลก?","จอร์จ อีสต์แมน|สตีเวน แซสสัน|โทมัส เอดิสัน|เบลล์","สตีเวน สตีเวน แซสสัน","Steven Sasson (Kodak, 1975)","เทคโนโลยี","level-5|world",5,20,20,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"สัตว์ชนิดใดมี 'หัวใจ' อยู่ที่บริเวณ 'ส่วนหัว'?","กุ้ง|ปู|หอยเชลล์|ปลาหมึกยักษ์","กุ้ง","Shrimp","สัตว์โลก","level-4|animal",4,15,15,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"เมืองหลวงของประเทศตุรกี (Turkey) คือนครใด?","อิสตันบูล|อังการา|อันตัลยา|อิซเมียร์","อังการา","Ankara","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
"ใครคือบิดาแห่ง 'การชั่ง ตวง วัด' ของไทย?","รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 6|รัชกาลที่ 9","รัชกาลที่ 4","สมเด็จพระจอมเกล้าเจ้าอยู่หัว","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T23:10:00.000Z,2026-04-09T23:10:00.000Z
