text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อวัยวะใดในร่างกายมนุษย์มีหน้าที่หลักในการควบคุม 'จังหวะการเต้นของหัวใจ' (Pacemaker ตามธรรมชาติ)?","ลิ้นหัวใจ|ไซนัสโหนด|เอเทรียม|เวนตริเคิล","ไซนัสโหนด","SA Node","สุขภาพ","level-4|health",4,15,15,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"สัตว์ชนิดใดมีกระดูกสันหลังที่สามารถหมุนคอได้เกือบ 270 องศา?","แมว|นกฮูก|งู|กิ้งก่า","นกฮูก","ใช้วิธีหมุนคอแทนการกรอกตา","สัตว์โลก","level-3|animal",3,10,10,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"ประเทศใดเป็นต้นกำเนิดของอารยธรรม 'อินคา' (Inca)?","บราซิล|เปรู|ชิลี|อาร์เจนตินา","เปรู","Peru","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"ก๊าซชนิดใดถูกนำมาใช้ในกระบวนการ 'ทำวิปครีม' เพื่อให้เกิดความคงตัว?","คาร์บอนไดออกไซด์|ไนตรัสออกไซด์|ไนโตรเจน|ออกซิเจน","ไนตรัสออกไซด์","ก๊าซหัวเราะ (N2O)","ความรู้ทั่วไป","level-4|food",4,15,15,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"จังหวัดใดในประเทศไทยมีแหล่งแร่ 'พลอยไพลิน' ที่ขึ้นชื่อที่สุดในอดีต?","จันทบุรี|ตราด|กาญจนบุรี|ระยอง","กาญจนบุรี","พลอยไพลินเมืองกาญจน์","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"ใครคือผู้ประดิษฐ์ 'เครื่องดูดฝุ่น' แบบไร้ถุงเก็บฝุ่น (Cyclonic) คนแรก?","วิลเลียม ฮูเวอร์|เจมส์ ไดสัน|ฮิวเบิร์ต บูธ|เอดิสัน","เจมส์ ไดสัน","James Dyson","เทคโนโลยี","level-4|world",4,15,15,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"ธาตุชนิดใดที่มีสัญลักษณ์ 'Au' และเป็นตัวนำไฟฟ้าที่ยอดเยี่ยมแต่ราคาแพง?","เงิน|ทองคำ|ทองแดง|แพลตตินัม","ทองคำ","Aurum","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"อวัยวะใดของสัตว์ที่มีหน้าที่ 'ตรวจจับความร้อน' (Heat-sensing)?","รูจมูก|แอ่งอินฟราเรดในงู|ลิ้น|หู","แอ่งอินฟราเรดในงู","Pit organs","สัตว์โลก","level-5|animal",5,20,20,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"เมืองหลวงของประเทศอาร์เจนตินาคือเมืองใด?","ริโอ เดอ จาเนโร|บัวโนสไอเรส|ซานติอาโก|ลิมา","บัวโนสไอเรส","Buenos Aires","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"ใครคือพระบิดาแห่ง 'วิทยาศาสตร์ทางทะเล' ไทย?","รัชกาลที่ 4|กรมหลวงชุมพรเขตอุดมศักดิ์|รัชกาลที่ 9|ดร.ประเวศ วะสี","กรมหลวงชุมพรเขตอุดมศักดิ์","เสด็จเตี่ย","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"สารกลุ่มใดที่ทำให้ 'องุ่น' หรือไวน์มีรสฝาด?","คาเฟอีน|แทนนิน|แคปไซซิน|นิโคติน","แทนนิน","Tannins","ความรู้ทั่วไป","level-3|food",3,10,10,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Pt'?","ฟอสฟอรัส|แพลตตินัม|พลูโตเนียม|โพแทสเซียม","แพลตตินัม","Platinum","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
"สัตว์ชนิดใดมีระบบทางเดินอาหารแบบ 'เคี้ยวเอื้อง' (Ruminant) นอกจากวัว?","ม้า|หมู|แพะ|สุนัข","แพะ","มีกระเพาะ 4 ส่วนเช่นกัน","สัตว์โลก","level-2|animal",2,5,5,2026-04-09T22:10:00.000Z,2026-04-09T22:10:00.000Z
