text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"สัตว์ชนิดใดคอยาวที่สุด?","ยีราฟ|ม้า|ช้าง|กวาง","ยีราฟ","กินใบไม้บนยอดต้นไม้","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"เราใช้อะไรดูเวลา?","เข็มทิศ|นาฬิกา|ไม้บรรทัด|เครื่องคิดเลข","นาฬิกา","Clock","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สีผสมระหว่างแดงกับเหลืองคือสีอะไร?","ส้ม|ม่วง|เขียว|น้ำตาล","ส้ม","Orange","ความรู้ทั่วไป","level-1|art",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สัตว์ที่ออกลูกเป็นไข่คือสัตว์ชนิดใด?","แมว|ไก่|สุนัข|หมู","ไก่","สัตว์ปีก","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"พยัญชนะไทยตัวแรกคืออะไร?","ก|ข|ค|ฮ","ก","ก.ไก่","ความรู้ทั่วไป","level-1|thai",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ทิศที่ตรงข้ามกับทิศเหนือคือทิศใด?","ตะวันออก|ตะวันตก|ใต้|เฉียงเหนือ","ใต้","South","ความรู้ทั่วไป","level-1|nature",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"อาหารประจำชาติของญี่ปุ่นคืออะไร?","ส้มตำ|ซูชิ|พิซซ่า|พาสต้า","ซูชิ","ข้าวปั้นหน้าต่างๆ","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"พาหนะที่แล่นบนรางคืออะไร?","รถเมล์|รถไฟ|เรือ|เครื่องบิน","รถไฟ","Train","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"รุ้งกินน้ำเกิดขึ้นเมื่อมีฝนและอะไร?","หิมะ|แดด|ลม|พายุ","แดด","การหักเหของแสง","ความรู้ทั่วไป","level-1|nature",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"อวัยวะใดทำหน้าที่มองเห็นภาพ?","หู|ตา|จมูก|ปาก","ตา","Eye","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ดาวเคราะห์ที่อยู่ห่างจากดวงอาทิตย์ที่สุดในระบบสุริยะ?","ดาวเสาร์|ดาวยูเรนัส|ดาวเนปจูน|ดาวพลูโต (อดีต)","ดาวเนปจูน","Neptune","ความรู้ทั่วไป","level-2|astronomy",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"วันสงกรานต์ตรงกับเดือนใด?","มกราคม|เมษายน|กรกฎาคม|ธันวาคม","เมษายน","April","ความรู้ทั่วไป","level-2|culture",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"หน่วยเงินของอังกฤษคืออะไร?","ดอลลาร์|เยน|ปอนด์|ยูโร","ปอนด์","Pound Sterling","ความรู้ทั่วไป","level-2|finance",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"กำแพงเมืองจีนตั้งอยู่ในประเทศใด?","ญี่ปุ่น|เกาหลี|จีน|เวียดนาม","จีน","China","ความรู้ทั่วไป","level-2|world",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"แม่น้ำที่ยาวที่สุดในเอเชียตะวันออกเฉียงใต้?","โขง|เจ้าพระยา|สาละวิน|แดง","โขง","Mekong River","ความรู้ทั่วไป","level-2|geo",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สัตว์ชนิดใดไม่มีกระดูกสันหลัง?","แมว|นก|ปลาหมึก|จระเข้","ปลาหมึก","Squid","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ภาษาอังกฤษมีตัวอักษรกี่ตัว?","24 ตัว|25 ตัว|26 ตัว|27 ตัว","26 ตัว","A-Z","ความรู้ทั่วไป","level-2|general",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สัญลักษณ์ทางเคมีของน้ำคืออะไร?","CO2|H2O|O2|NaCl","H2O","Hydrogen and Oxygen","ความรู้ทั่วไป","level-2|science",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ก๊าซใดมนุษย์ใช้หายใจเพื่อการดำรงชีวิต?","ออกซิเจน|ไนโตรเจน|ฮีเลียม|คาร์บอน","ออกซิเจน","Oxygen","ความรู้ทั่วไป","level-2|nature",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"วันลอยกระทงมีขึ้นในคืนเดือนอะไร?","เดือน 1|เดือน 10|เดือน 11|เดือน 12","เดือน 12","เพ็ญเดือน 12","ความรู้ทั่วไป","level-2|culture",2,5,5,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือบิดาแห่งเศรษฐศาสตร์?","คาร์ล มาร์กซ์|อดัม สมิธ|จอห์น เมย์นาร์ด เคนส์|มิลตัน ฟริดแมน","อดัม สมิธ","The Wealth of Nations","ความรู้ทั่วไป","level-3|world",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"อวัยวะใดทำหน้าที่สูบฉีดเลือดไปเลี้ยงร่างกาย?","ตับ|ปอด|หัวใจ|สมอง","หัวใจ","Heart","ความรู้ทั่วไป","level-3|health",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ดาวเคราะห์ดวงใดได้รับฉายาว่า เตาไฟแช่แข็ง?","ดาวอังคาร|ดาวพุธ|ดาวศุกร์|ดาวเสาร์","ดาวพุธ","Mercury","ความรู้ทั่วไป","level-3|astronomy",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครแต่งเรื่อง 'พระอภัยมณี'?","สุนทรภู่|รัชกาลที่ 2|รัชกาลที่ 6|พระยาอุปกิตศิลปสาร","สุนทรภู่","กวีเอกของไทย","ความรู้ทั่วไป","level-3|art",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ประเทศที่มีพื้นที่ใหญ่ที่สุดในอเมริกาใต้คือ?","อาร์เจนตินา|ชิลี|บราซิล|เปรู","บราซิล","Brazil","ความรู้ทั่วไป","level-3|world",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"วิตามินชนิดใดป้องกันโรคเลือดออกตามไรฟัน?","วิตามินเอ|วิตามินบี|วิตามินซี|วิตามินดี","วิตามินซี","พบมากในส้มและมะนาว","ความรู้ทั่วไป","level-3|health",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สงครามโลกครั้งที่ 2 สิ้นสุดลงปี ค.ศ. ใด?","1918|1939|1945|1950","1945","ชัยชนะฝ่ายสัมพันธมิตร","ความรู้ทั่วไป","level-3|history",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือพระมหากษัตริย์ที่ยกเลิกทาสในไทย?","รัชกาลที่ 1|รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 6","รัชกาลที่ 5","สมเด็จพระปิยมหาราช","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ยอดเขาที่สูงที่สุดในโลกคือยอดเขาใด?","เอเวอเรสต์|เคทู|คิลิมันจาโร|ฟูจิ","เอเวอเรสต์","Mount Everest","ความรู้ทั่วไป","level-3|geo",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"เครื่องดนตรี 'เปียโน' จัดอยู่ในประเภทใด?","เครื่องสาย|เครื่องกระทบ|เครื่องลิ่มนิ้ว|เครื่องเป่า","เครื่องลิ่มนิ้ว","Keyboard instruments","ความรู้ทั่วไป","level-3|art",3,10,10,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือผู้ค้นพบเซลล์เป็นคนแรก?","หลุยส์ ปาสเตอร์|โรเบิร์ต ฮุก|ชาร์ลส์ ดาร์วิน|ไอแซก นิวตัน","โรเบิร์ต ฮุก","Robert Hooke (ปี 1665)","ความรู้ทั่วไป","level-4|science",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สนธิสัญญาเวสต์ฟาเลีย (Peace of Westphalia) ปี 1648 สำคัญอย่างไร?","จบสงครามโลก|กำเนิดรัฐชาติสมัยใหม่|แบ่งดินแดนอเมริกา|จัดตั้งสหประชาชาติ","กำเนิดรัฐชาติสมัยใหม่","Modern nation-state system","ความรู้ทั่วไป","level-4|history",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ธาตุชนิดใดมีจุดหลอมเหลวสูงสุดในบรรดาธาตุทั้งหมด?","เหล็ก|ทังสเตน|ทองคำ|คาร์บอน","คาร์บอน","ในรูปแกรไฟต์จะระเหิดที่อุณหภูมิสูงจัด","ความรู้ทั่วไป","level-4|science",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ประเทศใดมีเขตเวลา (Time Zones) มากที่สุดในโลก?","รัสเซีย|จีน|สหรัฐอเมริกา|ฝรั่งเศส","ฝรั่งเศส","นับรวมดินแดนโพ้นทะเล (12 เขต)","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือผู้วางรากฐานทฤษฎีควอนตัมคนแรกๆ?","ไอน์สไตน์|แมกซ์ พลังค์|นีลส์ โบร์|สตีเฟน ฮอว์คิง","แมกซ์ พลังค์","Max Planck","ความรู้ทั่วไป","level-4|science",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สงครามร้อยปีสู้กันระหว่างประเทศใด?","อังกฤษ-ฝรั่งเศส|สเปน-โปรตุเกส|โรม-คาร์เธจ|เยอรมัน-ออสเตรีย","อังกฤษ-ฝรั่งเศส","นาน 116 ปี","ความรู้ทั่วไป","level-4|history",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"วิกฤตการณ์ 'ต้มยำกุ้ง' เริ่มในปี พ.ศ. ใด?","2530|2540|2550|2560","2540","เศรษฐกิจไทยล้ม","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ปรากฏการณ์ Quantum Entanglement เคยถูกเรียกโดยไอน์สไตน์ว่าอะไร?","Spooky Action|God Particle|Time Dilation|Dark Matter","Spooky Action","Spooky action at a distance","ความรู้ทั่วไป","level-4|science",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ทวีปใดเป็นพื้นที่ตั้งของเกาะกรีนแลนด์?","อเมริกาใต้|อเมริกาเหนือ|ยุโรป|ออสเตรเลีย","อเมริกาเหนือ","ทางภูมิศาสตร์อยู่ในอเมริกาเหนือแต่เป็นเขตปกครองของเดนมาร์ก","ความรู้ทั่วไป","level-4|geo",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือมหาราชที่ทรงกอบกู้เอกราชครั้งที่ 2?","พระนเรศวร|พระเจ้าตากสิน|รัชกาลที่ 1|รัชกาลที่ 5","พระเจ้าตากสิน","สถาปนาธนบุรี","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือผู้พิสูจน์ทฤษฎีบทสุดท้ายของแฟร์มา (Fermat's Last Theorem)?","นิวตัน|แอนดรูว์ ไวลส์|เกาส์|ไอน์สไตน์","แอนดรูว์ ไวลส์","Andrew Wiles","ความรู้ทั่วไป","level-5|world",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"อนุภาค 'ฮิกส์โบซอน' มีฉายาว่าอะไร?","อนุภาคแสง|อนุภาคพระเจ้า|อนุภาคผี|อนุภาคไร้มวล","อนุภาคพระเจ้า","God Particle","ความรู้ทั่วไป","level-5|science",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สนธิสัญญาตอร์เดซียัส (1494) แบ่งโลกกันระหว่างใคร?","อังกฤษ-ฝรั่งเศส|สเปน-โปรตุเกส|จีน-ญี่ปุ่น|เยอรมัน-รัสเซีย","สเปน-โปรตุเกส","การแบ่งเขตสำรวจโลกใหม่","ความรู้ทั่วไป","level-5|history",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ทฤษฎี 'ความไม่มีระเบียบ' ในระบบที่ซับซ้อนเรียกว่า?","ทฤษฎีสัมพัทธภาพ|ทฤษฎีไร้ระเบียบ (Chaos)|ทฤษฎีสายรัด|ทฤษฎีเกม","ทฤษฎีไร้ระเบียบ (Chaos)","Chaos Theory","ความรู้ทั่วไป","level-5|science",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"นักประพันธ์ผู้เขียนเพลง 'สรรเสริญพระบารมี' (ทำนอง)?","รัชกาลที่ 6|ปิออตร์ ชูคอฟสกี้|สมเด็จเจ้าฟ้ากรมพระยานริศรานุวัดติวงศ์|พระเจนดุริยางค์","ปิออตร์ ชูคอฟสกี้","นักประพันธ์ชาวรัสเซีย","ความรู้ทั่วไป","level-5|art",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ธาตุชนิดใดมีจุดเดือดต่ำที่สุดในบรรดาธาตุทั้งหมด?","ไฮโดรเจน|ฮีเลียม|นีออน|ไนโตรเจน","ฮีเลียม","Helium","ความรู้ทั่วไป","level-5|science",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือผู้วางรากฐานทฤษฎีเกม (Game Theory) คนสำคัญ?","อดัม สมิธ|จอห์น แนช|นิวตัน|มาร์กซ์","จอห์น แนช","John Nash","ความรู้ทั่วไป","level-5|world",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"สงครามที่สั้นที่สุดในประวัติศาสตร์กินเวลากี่นาที?","15 นาที|38 นาที|90 นาที|4 ชั่วโมง","38 นาที","สงครามอังกฤษ-แซนซิบาร์","ความรู้ทั่วไป","level-5|history",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"ใครคือคนแรกที่เสนอทฤษฎีการคัดเลือกโดยธรรมชาติ?","ปาสเตอร์|ดาร์วิน|เมนเดล|รัทเทอร์ฟอร์ด","ดาร์วิน","Charles Darwin","ความรู้ทั่วไป","level-5|biology",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
"จังหวัดใดในไทยที่มีอาณาเขตกว้างขวางที่สุด?","เชียงใหม่|กาญจนบุรี|นครราชสีมา|ตาก","นครราชสีมา","มีพื้นที่กว่า 2 หมื่น ตร.กม.","ความรู้ทั่วไป","level-5|thai",5,20,20,2026-04-09T21:25:00.000Z,2026-04-09T21:25:00.000Z
