text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"ใครคือผู้สถาปนาอาณาจักร 'สุโขทัย' เป็นราชธานีแห่งแรกของไทย?","พ่อขุนรามคำแหง|พ่อขุนศรีอินทราทิตย์|พ่อขุนบานเมือง|พระมหาธรรมราชาที่ 1","พ่อขุนศรีอินทราทิตย์","พระนามเดิมคือ พ่อขุนบางกลางหาว","ประวัติศาสตร์","level-2|thai",2,5,5,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"สัตว์ชนิดใดมี 'หู' อยู่ที่บริเวณหัวเข่าของขาคู่หน้า?","มด|จิ้งหรีด|ตั๊กแตน|แมงมุม","จิ้งหรีด","ใช้อวัยวะนี้รับแรงสั่นสะเทือนของเสียง","สัตว์โลก","level-4|animal",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ประเทศใดเป็นเจ้าของดินแดนเกาะ 'ติมอร์-เลสเต' ก่อนได้รับเอกราชจากอินโดนีเซีย?","อังกฤษ|ฝรั่งเศส|สเปน|โปรตุเกส","โปรตุเกส","Portugal","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือผู้ค้นพบทฤษฎี 'คานดีดคานงัด' และค่าพาย (Pi) ในสมัยกรีกโบราณ?","พีทาโกรัส|อาร์คิมิดีส|ยูคลิด|โซฟราตีส","อาร์คิมิดีส","Archimedes เจ้าของคำว่า ยูเรก้า!","วิทยาศาสตร์","level-4|world",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Ti'?","ดีบุก|ทองแดง|ไทเทเนียม|แทนทาลัม","ไทเทเนียม","Titanium","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"จังหวัดใดในประเทศไทยมีฉายาว่า 'เมืองน้ำตกสวย รวยปราสาท'?","กาญจนบุรี|ศรีสะเกษ|สระแก้ว|ปราจีนบุรี","ศรีสะเกษ","เป็นคำขวัญของจังหวัดนี้","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือผู้ประพันธ์บทเพลงพระราชนิพนธ์ 'ดวงใจกับความรัก'?","รัชกาลที่ 6|รัชกาลที่ 7|รัชกาลที่ 9|รัชกาลที่ 10","รัชกาลที่ 9","Never Mind the Hungry Men's Blues","ดนตรี","level-3|thai",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"อวัยวะใดของร่างกายมนุษย์ไม่มี 'เลือด' ไปเลี้ยง แต่รับออกซิเจนจากอากาศโดยตรง?","เล็บ|กระจกตา|กระดูก|เส้นผม","กระจกตา","Cornea","สุขภาพ","level-4|health",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"เมืองหลวงของประเทศเนปาลคือเมืองใด?","ทิมพู|กาฐมาณฑุ|ธากา|อิสลามาบัด","กาฐมาณฑุ","Kathmandu","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
"ใครคือมหาราชผู้ทรงขยายอาณาจักรไทยไปกว้างขวางที่สุดในสมัยรัตนโกสินทร์?","รัชกาลที่ 1|รัชกาลที่ 3|รัชกาลที่ 4|รัชกาลที่ 5","รัชกาลที่ 3","พระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัว","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T23:50:00.000Z,2026-04-09T23:50:00.000Z
