text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"สัตว์ชนิดใดใช้ 'หาง' ในการทรงตัวและเกาะเกี่ยวพยุงตัวขณะปีนป่าย?","สุนัข|แมว|ลิงใยแมงมุม|วัว","ลิงใยแมงมุม","Spider Monkey มีหางที่แข็งแรงมาก","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"เราใช้อุปกรณ์ใดวัดค่าความสว่างของแสง?","มิเตอร์น้ำ|ลักซ์มิเตอร์|เทอร์โมมิเตอร์|บารอมิเตอร์","ลักซ์มิเตอร์","Lux Meter","ความรู้ทั่วไป","level-3|science",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"สีน้ำเงิน ผสม สีเหลือง จะได้สีอะไร?","ส้ม|ม่วง|เขียว|น้ำตาล","เขียว","Green","ศิลปะ","level-1|art",1,1,1,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ประเทศใดเป็นเจ้าภาพฟุตบอลโลกปี 2022?","รัสเซีย|กาตาร์|บราซิล|เยอรมนี","กาตาร์","Qatar","ความรู้ทั่วไป","level-1|sport",1,1,1,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"แกงมัสมั่น ได้รับการจัดอันดับว่าเป็นอาหารที่อร่อยที่สุดในโลกจากสื่อใดบ่อยครั้ง?","BBC|CNN Travel|Forbes|Time","CNN Travel","CNN Travel's World's 50 Best Foods","ความรู้ทั่วไป","level-2|food",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"สัตว์ชนิดใดไม่มีสมองและไม่มีหัวใจ?","ฉลาม|โลมา|แมงกะพรุน|เต่า","แมงกะพรุน","Jellyfish","ความรู้ทั่วไป","level-3|animal",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือพระมหากษัตริย์ไทยผู้ทรงได้รับยกย่องเป็น 'พระบิดาแห่งเทคโนโลยีของไทย'?","รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 9|รัชกาลที่ 10","รัชกาลที่ 9","ทรงคิดค้นฝนหลวงและกังหันน้ำชัยพัฒนา","ความรู้ทั่วไป","level-2|thai",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ดาวเคราะห์ดวงใดในระบบสุริยะที่มีดวงจันทร์บริวารมากที่สุด (ข้อมูลปี 2024)?","ดาวพฤหัสบดี|ดาวเสาร์|ดาวยูเรนัส|ดาวเนปจูน","ดาวเสาร์","Saturn มีดวงจันทร์มากกว่า 140 ดวง","วิทยาศาสตร์","level-4|astronomy",4,15,15,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"จังหวัดใดในประเทศไทยที่มีสัญลักษณ์เป็นรูป 'ศาลากลางน้ำ'?","นนทบุรี|ปทุมธานี|สุพรรณบุรี|พิจิตร","นนทบุรี","ภาพศาลากลางหลังเก่าริมน้ำ","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
"ใครคือจิตรกรเอกชาวฝรั่งเศสผู้วาดภาพ 'Water Lilies'?","แวน โก๊ะ|ปิกัสโซ|โคลด โมเนต์|ซัลวาดอร์ ดาลี","โคลด โมเนต์","Claude Monet","ศิลปะ","level-3|world",3,10,10,2026-04-09T23:00:00.000Z,2026-04-09T23:00:00.000Z
