text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อุปกรณ์ใดใช้สำหรับพิมพ์ภาพถ่ายหรือเอกสารลงบนกระดาษ?","เมาส์|หน้าจอ|เครื่องพิมพ์ (Printer)|ลำโพง","เครื่องพิมพ์ (Printer)","Printer","เทคโนโลยี","level-1|tech",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"สัตว์ชนิดใดอาศัยอยู่ในขั้วโลกและมีขนหนาสีขาว?","หมีขั้วโลก|ช้าง|ลิง|ยีราฟ","หมีขั้วโลก","Polar Bear","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"เราใช้สิ่งใดในการตัดเส้นด้ายหรือผ้า?","ไม้บรรทัด|กรรไกร|ยางลบ|ช้อน","กรรไกร","เครื่องมือมีคมสองขา","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"อาหารประจำชาติของอิตาลีที่มีแป้งยาวๆ ราดซอสคือ?","สปาเกตตี|พิซซ่า|ราเมง|เฝอ","สปาเกตตี","Spaghetti","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"สีไฟจราจรใดบอกให้ 'ไปได้'?","แดง|เหลือง|เขียว|ส้ม","เขียว","สีล่างสุดบนเสาไฟ","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ส่วนประกอบใดของพืชทำหน้าที่สังเคราะห์แสง?","ราก|ใบ|ดอก|ลำต้น","ใบ","มีคลอโรฟิลล์สีเขียว","วิทยาศาสตร์","level-1|nature",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"เราควรใช้สิ่งใดล้างหน้าให้สะอาด?","น้ำยาล้างจาน|สบู่หรือโฟมล้างหน้า|น้ำหอม|แป้ง","สบู่หรือโฟมล้างหน้า","ขจัดความมันบนใบหน้า","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"พยัญชนะไทยตัวสุดท้ายคืออะไร?","อ|ฬ|ฮ|ห","ฮ","ฮ.นกฮูก","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"สัตว์ชนิดใดมีขนาดใหญ่ที่สุดในโลก (อาศัยในทะเล)?","ฉลาม|วาฬสีน้ำเงิน|โลมา|เต่า","วาฬสีน้ำเงิน","Blue Whale","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"50 + 50 = ?","80|90|100|110","100","บวเลขพื้นฐาน","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ในคอมพิวเตอร์ URL ย่อมาจาก Uniform Resource ... ?","List|Locator|Link|Library","Locator","ที่อยู่อิเล็กทรอนิกส์ของไฟล์","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ใน JavaScript เมธอด 'Array.pop()' ใช้ทำอะไร?","ลบข้อมูลตัวแรก|ลบข้อมูลตัวสุดท้าย|หาค่าเฉลี่ย|สลับลำดับ","ลบข้อมูลตัวสุดท้าย","Remove the last element","เทคโนโลยี","level-2|dev",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ดาวเคราะห์ดวงใดมีดวงจันทร์บริวารชื่อ 'ไททัน'?","อังคาร|พฤหัสบดี|เสาร์|เนปจูน","เสาร์","ไททันมีบรรยากาศหนาแน่น","วิทยาศาสตร์","level-2|astronomy",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ใครคือผู้ประดิษฐ์โทรศัพท์คนแรก?","เอดิสัน|เกรแฮม เบลล์|นิวตัน|เทสลา","เกรแฮม เบลล์","Alexander Graham Bell","ประวัติศาสตร์","level-2|world",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"จังหวัดใดขึ้นชื่อเรื่อง 'หลวงพ่อโสธร'?","สมุทรปราการ|ฉะเชิงเทรา|ชลบุรี|นนทบุรี","ฉะเชิงเทรา","เมืองแปดริ้ว","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ปุ่มลัด 'Ctrl + Z' ใช้ทำอะไร?","Save|Undo|Redo|Delete","Undo","ย้อนกลับการกระทำ","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"สัตว์เลี้ยงลูกด้วยนมชนิดใดอาศัยในน้ำตลอดเวลา?","ฉลาม|โลมา|ปลากระเบน|ม้าน้ำ","โลมา","หายใจด้วยปอดและฉลาดมาก","วิทยาศาสตร์","level-2|animal",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"สีแดง ผสม เหลือง ได้สีอะไร?","ม่วง|เขียว|ส้ม|น้ำตาล","ส้ม","สีของแสงอาทิตย์ยามเย็น","ความรู้ทั่วไป","level-2|art",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"มหาสมุทรที่ลึกที่สุดในโลกคือ?","แอตแลนติก|อินเดีย|แปซิฟิก|อาร์กติก","แปซิฟิก","มีร่องลึกมาเรียนา","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"100 / 4 = ?","20|25|30|35","25","หารเลขพื้นฐาน","คณิตคิดไว","level-2|math",2,5,5,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ในระบบฐานข้อมูล ACID ตัว I คืออะไร?","Isolation|Index|Identity|Instance","Isolation","ความอิสระของแต่ละ Transaction","เทคโนโลยี","level-3|dev",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"Node.js โมดูลใดใช้จัดการไฟล์และโฟลเดอร์?","http|os|fs|path","fs","File System","เทคโนโลยี","level-3|dev",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ใครคือพระมหากษัตริย์ไทยที่ยกเลิกทาส?","ร.1|ร.4|ร.5|ร.6","ร.5","สมเด็จพระปิยมหาราช","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ธาตุใดมีสัญลักษณ์ 'Na'?","ไนโตรเจน|โซเดียม|เหล็ก|นีออน","โซเดียม","Natrium (เกลือแกง)","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ยอดเขาที่สูงที่สุดในโลกตั้งอยู่ในเทือกเขาใด?","แอนดีส|แอลป์|หิมาลัย|ร็อกกี","หิมาลัย","ยอดเขาเอเวอเรสต์","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"อวัยวะใดฟอกของเสียออกจากเลือดและผลิตปัสสาวะ?","ตับ|ปอด|ไต|หัวใจ","ไต","Kidney","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ใครคือผู้วาดภาพ 'Mona Lisa'?","ปิกัสโซ|ดา วินชี|แวน โก๊ะ|ราฟาเอล","ดา วินชี","Leonardo da Vinci","ศิลปะ","level-3|world",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ประเทศที่มีพื้นที่กว้างที่สุดในอาเซียน?","ไทย|ฟิลิปปินส์|เวียดนาม|อินโดนีเซีย","อินโดนีเซีย","Indonesia","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"วิตามินใดช่วยป้องกันโรคเหน็บชา?","A|B1|C|D","B1","Thiamine","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"มุมฉากมีกี่องศา?","45|90|180|360","90","พื้นฐานเรขาคณิต","คณิตศาสตร์","level-3|math",3,10,10,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
"ในการเขียนโปรแกรม SOLID หลักการ O คือ?","Object|Open/Closed|Operator|Output","Open/Closed","เปิดให้ขยาย ปิดให้แก้ไขโค้ดเดิม","เทคโนโลยี","level-4|dev",4,15,15,2026-04-06T03:20:00.000Z,2026-04-06T03:20:00.000Z
