text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อุปกรณ์ใดใช้สำหรับฟังเสียงจากคอมพิวเตอร์แบบส่วนตัว?","ลำโพง|หูฟัง|ไมโครโฟน|กล้อง","หูฟัง","สวมไว้ที่หูทั้งสองข้าง","เทคโนโลยี","level-1|tech",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"สัตว์ชนิดใดอาศัยอยู่ในน้ำและมีเกล็ด?","สุนัข|แมว|ปลา|นก","ปลา","ว่ายน้ำเก่งและหายใจด้วยเหงือก","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"เราใช้สิ่งใดในการตัดกระดาษให้เป็นรูปต่าง ๆ?","ดินสอ|ยางลบ|กรรไกร|ไม้บรรทัด","กรรไกร","ของมีคมที่มีด้ามจับสองห่วง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"อาหารญี่ปุ่นที่เป็นเส้นน้ำซุปกระดูกหมูคืออะไร?","ซูชิ|ราเมง|ทาโกยากิ|เทมปุระ","ราเมง","ก๋วยเตี๋ยวสไตล์ญี่ปุ่น","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"สีใดที่ใช้บอกว่าให้ 'เตรียมตัว' หรือ 'ระวัง' ในไฟจราจร?","แดง|เขียว|เหลือง|ฟ้า","เหลือง","อยู่ระหว่างสีเขียวและสีแดง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"ผลไม้ชนิดใดมีเปลือกสีม่วงและเนื้อข้างในสีขาวเป็นกลีบ?","ทุเรียน|มังคุด|เงาะ|ลำไย","มังคุด","ราชินีแห่งผลไม้ไทย","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"เราควรใช้สิ่งใดแปรงฟัน?","หวี|แปรงสีฟัน|แปรงถูพื้น|พู่กัน","แปรงสีฟัน","ใช้คู่กับยาสีฟันเพื่อฟันสะอาด","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"สระ 'อู' ในภาษาไทยเขียนไว้ตรงไหนของพยัญชนะ?","ข้างหน้า|ข้างหลัง|ข้างบน|ข้างล่าง","ข้างล่าง","เช่นคำว่า ดู ปู งู","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"สัตว์ชนิดใดคอยาวและมีจุดตามตัว?","ยีราฟ|ม้าลาย|สิงโต|เสือดาว","ยีราฟ","กินใบไม้บนยอดไม้สูง","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"20 - 5 = ?","10|15|20|25","15","ยี่สิบหักออกห้า","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
"ในระบบคอมพิวเตอร์ GUI ย่อมาจากคำว่าอะไร?","General User Interface|Graphical User Interface|Global Unit Integration|Grand User Input","Graphical User Interface","การติดต่อกับผู้ใช้ผ่านภาพและไอคอน","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T01:50:00.000Z,2026-04-06T01:50:00.000Z
