text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อุปกรณ์ใดที่ใช้แสดงผลภาพจากคอมพิวเตอร์?","คีย์บอร์ด|เมาส์|หน้าจอ|ลำโพง","หน้าจอ","Monitor","เทคโนโลยี","level-1|tech",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"สัตว์ชนิดใดมีลายทางสีขาวดำทั้งตัว?","เสือ|ม้าลาย|ยีราฟ|สุนัข","ม้าลาย","สัตว์แอฟริกาที่มีลายเป็นเอกลักษณ์","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"เราใช้สิ่งใดในการส่องกระจกดูหน้าตัวเอง?","หน้าต่าง|กระจกเงา|กำแพง|พื้น","กระจกเงา","สะท้อนแสงกลับมาหาเรา","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"อาหารประจำชาติของญี่ปุ่นที่เป็นปลาชุบแป้งทอดคืออะไร?","ซูชิ|ราเมง|เทมปุระ|ยากิโซบะ","เทมปุระ","กุ้งหรือผักชุบแป้งทอดกรอบ","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"สีใดที่ใช้บอกว่า 'ระวัง' ในสัญญาณไฟจราจร?","แดง|เขียว|เหลือง|น้ำเงิน","เหลือง","อยู่ระหว่างสีเขียวและสีแดง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"ส่วนประกอบใดของพืชที่ทำหน้าที่ล่อแมลงให้มาผสมเกสร?","ใบ|ราก|ดอก|ลำต้น","ดอก","มักมีสีสวยงามและกลิ่นหอม","วิทยาศาสตร์","level-1|nature",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"เราควรใช้สิ่งใดทำความสะอาดร่างกายขณะอาบน้ำ?","แชมพู|สบู่|ยาสีฟัน|ผงซักฟอก","สบู่","ช่วยชำระล้างเหงื่อและสิ่งสกปรก","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"เลข ๙ ในภาษาไทยเขียนแทนเลขอะไรในอารบิก?","6|7|8|9","9","เลขมงคลของไทย","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"สัตว์ชนิดใดเป็นพาหนะหลักของคนในทะเลทราย?","ม้า|วัว|อูฐ|แพะ","อูฐ","มีความอดทนต่อความร้อนและขาดน้ำได้นาน","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"5 x 5 = ?","10|15|20|25","25","ห้าคูณห้า","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"ในคอมพิวเตอร์ RAM ย่อมาจากคำว่าอะไร?","Read Access Memory|Random Access Memory|Ready Application Module|Remote Active Monitor","Random Access Memory","หน่วยความจำชั่วคราว","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"ใน JavaScript คำสั่ง 'Array.reverse()' ทำหน้าที่อะไร?","ลบข้อมูล|กลับลำดับข้อมูลใน Array|เรียงจากน้อยไปมาก|หาค่ามากที่สุด","กลับลำดับข้อมูลใน Array","สลับหน้าไปหลัง หลังไปหน้า","เทคโนโลยี","level-2|dev",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"ดาวเคราะห์ดวงใดมีบริวารมากที่สุดในระบบสุริยะ (สถิติล่าสุด)?","ดาวอังคาร|ดาวเสาร์|ดาวพฤหัสบดี|เนปจูน","ดาวเสาร์","เพิ่งมีการค้นพบดวงจันทร์ใหม่ๆ เพิ่มขึ้นเป็นร้อยดวง","วิทยาศาสตร์","level-2|astronomy",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"ใครคือผู้ประดิษฐ์โทรศัพท์เครื่องแรก?","โทมัส เอดิสัน|อเล็กซานเดอร์ เกรแฮม เบลล์|นิโคลา เทสลา|เจมส์ วัตต์","อเล็กซานเดอร์ เกรแฮม เบลล์","Alexander Graham Bell","ประวัติศาสตร์","level-2|world",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"จังหวัดใดขึ้นชื่อเรื่อง 'หลวงพ่อโสธร'?","ฉะเชิงเทรา|สมุทรปราการ|ชลบุรี|ระยอง","ฉะเชิงเทรา","วัดโสธรวรารามวรวิหาร","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"ปุ่มลัด 'Ctrl + A' ใน Windows ใช้ทำอะไร?","ลบทั้งหมด|เลือกทั้งหมด|จัดกึ่งกลาง|บันทึกงาน","เลือกทั้งหมด","Select All","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"สัตว์ชนิดใดเป็นสัตว์เลือดอุ่นที่อาศัยในทะเลและพ่นน้ำได้?","ปลาฉลาม|วาฬ|เต่าทะเล|ปลากระเบน","วาฬ","เป็นสัตว์เลี้ยงลูกด้วยนม","วิทยาศาสตร์","level-2|animal",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"แม่สีทางแสงประกอบด้วยสีอะไรบ้าง?","แดง-เหลือง-น้ำเงิน|แดง-เขียว-น้ำเงิน (RGB)|ฟ้า-แดง-ชมพู|ขาว-ดำ-เทา","แดง-เขียว-น้ำเงิน (RGB)","ใช้ในหน้าจอคอมพิวเตอร์และมือถือ","ความรู้ทั่วไป","level-2|art",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"ประเทศที่มีพื้นที่ใหญ่ที่สุดในโลกคือ?","จีน|สหรัฐอเมริกา|รัสเซีย|แคนาดา","รัสเซีย","Russia","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"100 x 5 = ?","50|150|500|5000","500","หนึ่งร้อยคูณห้า","คณิตคิดไว","level-2|math",2,5,5,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
"Data Structure 'Binary Search Tree' มีความเร็วในการค้นหาเฉลี่ยเท่าใด?","O(1)|O(n)|O(log n)|O(n^2)","O(log n)","เป็นการแบ่งครึ่งการค้นหาในแต่ละขั้นตอน","เทคโนโลยี","level-3|dev",3,10,10,2026-04-06T01:56:00.000Z,2026-04-06T01:56:00.000Z
