text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"สัตว์ชนิดใดมีถุงหน้าท้องสำหรับเลี้ยงลูก?","สุนัข|แมว|จิงโจ้|เสือ","จิงโจ้","สัตว์ประจำชาติออสเตรเลีย","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"เราใช้สิ่งใดในการเขียนกระดาษและลบออกไม่ได้ด้วยยางลบ?","ดินสอ|ปากกา|สีไม้|ชอล์ก","ปากกา","ใช้น้ำหมึกในการเขียน","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"ทิศที่เข็มทิศชี้ไปเสมอคือทิศใด?","เหนือ|ใต้|ตะวันออก|ตะวันตก","เหนือ","North","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"ผลไม้ชนิดใดมีเปลือกสีม่วงและเนื้อข้างในเป็นกลีบสีขาว?","ทุเรียน|เงาะ|มังคุด|ลำไย","มังคุด","ราชินีแห่งผลไม้ไทย","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"สีใดที่ใช้เป็นสัญลักษณ์ของความระมัดระวังในไฟจราจร?","แดง|เขียว|เหลือง|ฟ้า","เหลือง","ไฟก่อนจะเปลี่ยนเป็นสีแดง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"ส่วนประกอบใดของพืชทำหน้าที่ล่อแมลงมาผสมเกสร?","ราก|ใบ|ดอก|ลำต้น","ดอก","มักมีสีสันสวยงามและกลิ่นหอม","วิทยาศาสตร์","level-1|nature",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"เราควรใช้สิ่งใดซับน้ำตามร่างกายหลังอาบน้ำ?","ผ้าห่ม|ผ้าเช็ดตัว|ผ้าม่าน|พรม","ผ้าเช็ดตัว","ใช้ซับน้ำให้แห้ง","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"พยัญชนะไทยตัวที่ 1 คือ ก.ไก่ แล้วตัวที่ 2 คืออะไร?","ข.ไข่|ค.ควาย|ง.งู|จ.จาน","ข.ไข่","ข.ไข่ ในเล้า","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"สัตว์ชนิดใดมีพังผืดที่เท้าช่วยในการว่ายน้ำและร้อง 'ก้าบ ก้าบ'?","นก|ไก่|เป็ด|ห่าน","เป็ด","ชอบลอยคอในน้ำ","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"10 + 50 = ?","40|60|80|100","60","บวกเลขง่ายๆ","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"เมืองหลวงของประเทศอังกฤษคือเมืองใด?","ปารีส|ลอนดอน|โรม|เบอร์ลิน","ลอนดอน","London","ความรู้ทั่วไป","level-2|world",2,5,5,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"ดาวเคราะห์ดวงใดที่ได้รับฉายาว่า 'ดาวฝาแฝดของโลก'?","ดาวอังคาร|ดาวศุกร์|ดาวพุธ|ดาวเนปจูน","ดาวศุกร์","มีขนาดและมวลใกล้เคียงโลก","วิทยาศาสตร์","level-2|astronomy",2,5,5,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"ใครคือผู้ประดิษฐ์โทรศัพท์เครื่องแรก?","เอดิสัน|เบลล์|นิวตัน|วัตต์","เบลล์","Alexander Graham Bell","ประวัติศาสตร์","level-2|world",2,5,5,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"จังหวัดใดเป็นเกาะที่มีขนาดใหญ่ที่สุดในประเทศไทย?","เกาะสมุย|เกาะช้าง|ภูเก็ต|เกาะลันตา","ภูเก็ต","ไข่มุกแห่งอันดามัน","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
"สัตว์ชนิดใดเป็นสัตว์เลี้ยงลูกด้วยนมที่อาศัยในน้ำ?","ฉลาม|โลมา|กระเบน|ม้าน้ำ","โลมา","หายใจด้วยปอดและฉลาดมาก","วิทยาศาสตร์","level-2|animal",2,5,5,2026-04-06T04:50:00.000Z,2026-04-06T04:50:00.000Z
