text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อุปกรณ์คอมพิวเตอร์ที่ใช้พิมพ์ข้อความ?","เมาส์|คีย์บอร์ด|ลำโพง|เครื่องพิมพ์","คีย์บอร์ด","มีปุ่มกดตัวอักษร","เทคโนโลยี","level-1|tech",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"สัตว์ชนิดใดมีแปดขาและสร้างใย?","มด|ผึ้ง|แมงมุม|ตั๊กแตน","แมงมุม","Spider","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"เราใช้สิ่งใดส่องขยายวัตถุขนาดเล็ก?","หน้าต่าง|แว่นขยาย|กระจกเงา|ไม้บรรทัด","แว่นขยาย","ใช้เลนส์นูนช่วยรวมแสง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"อาหารประจำชาติเวียดนามที่เป็นเส้นน้ำใสคือ?","ต้มยำ|เฝอ|ราเมง|ส้มตำ","เฝอ","Pho","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"ไฟจราจรสีแดงหมายถึง?","ไปได้|ชะลอ|ให้หยุดรถ|ขับเร็ว","ให้หยุดรถ","เพื่อความปลอดภัยทางแยก","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"พืชใช้ส่วนใดดูดน้ำจากดิน?","ใบ|ดอก|ราก|ลำต้น","ราก","อยู่ใต้ดิน","วิทยาศาสตร์","level-1|nature",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"ควรล้างมือนานกี่วินาทีฆ่าเชื้อ?","5|20|60|120","20","ประมาณเพลงช้าง 2 รอบ","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"พยัญชนะไทยตัวแรกคือ?","ก|ข|ค|ง","ก","ก.ไก่","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"สัตว์ชนิดใดมีกระเป๋าหน้าท้องและกระโดดได้ไกล?","ลิง|จิงโจ้|ม้า|กวาง","จิงโจ้","สัตว์ประจำชาติออสเตรเลีย","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"50 / 2 = ?","25|50|75|100","25","ครึ่งหนึ่งของห้าสิบ","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"GPU ย่อมาจาก Graphics ... Unit?","Power|Processing|Programming|Primary","Processing","หน่วยประมวลผลกราฟิก","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"JavaScript เมธอด 'Array.pop()' ทำอะไร?","เพิ่ม|ลบตัวสุดท้าย|สลับ|หาผลรวม","ลบตัวสุดท้าย","Remove the last element","เทคโนโลยี","level-2|dev",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"ดาวเคราะห์ใดฉายา 'ดาวแดง'?","ศุกร์|อังคาร|พุธ|เนปจูน","อังคาร","Mars","วิทยาศาสตร์","level-2|astronomy",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"ใครค้นพบวัคซีนพิษสุนัขบ้า?","เอดิสัน|หลุยส์ ปาสเตอร์|นิวตัน|เทสลา","หลุยส์ ปาสเตอร์","Louis Pasteur","ประวัติศาสตร์","level-2|world",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"จังหวัดใดเหนือสุดของไทย?","เชียงใหม่|เชียงราย|พะเยา|น่าน","เชียงราย","อำเภอแม่สาย","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"ปุ่มลัด 'Ctrl + X' ใช้ทำอะไร?","Copy|Paste|Cut|Delete","Cut","การตัดข้อมูล","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"สัตว์ชนิดใดเป็นสัตว์เลือดเย็น?","แมว|นก|จระเข้|สุนัข","จระเข้","สัตว์เลื้อยคลาน","วิทยาศาสตร์","level-2|animal",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"แดง ผสม น้ำเงิน ได้สีอะไร?","ส้ม|ม่วง|เขียว|เทา","ม่วง","ผสมแม่สีพื้นฐาน","ความรู้ทั่วไป","level-2|art",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"ประเทศที่มีพื้นที่ใหญ่สุดในเอเชีย?","อินเดีย|รัสเซีย|จีน|ญี่ปุ่น","รัสเซีย","นับรวมส่วนอยู่ในเอเชีย","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"20 x 4 = ?","60|80|100|120","80","บวเลขหลักสิบ","คณิตคิดไว","level-2|math",2,5,5,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"ใน Node.js โมดูล 'path' ใช้ทำอะไร?","เน็ต|เส้นทางไฟล์|OS|Crypto","เส้นทางไฟล์","Handling file paths","เทคโนโลยี","level-3|dev",3,10,10,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
"Database ACID ตัว 'I' คือ?","Isolation|Index|Information|Instance","Isolation","ความเป็นอิสระของข้อมูล","เทคโนโลยี","level-3|dev",3,10,10,2026-04-06T03:30:00.000Z,2026-04-06T03:30:00.000Z
