text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อุปกรณ์ใดใช้สำหรับเชื่อมต่อคอมพิวเตอร์เข้ากับเครือข่าย Wi-Fi?","เมาส์|การ์ดแลน/ชิป Wi-Fi|หน้าจอ|เครื่องพิมพ์","การ์ดแลน/ชิป Wi-Fi","Wireless Adapter","เทคโนโลยี","level-1|tech",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"สัตว์ชนิดใดพ่นน้ำออกจากหัวและอาศัยในทะเล?","ฉลาม|วาฬ|เต่า|กุ้ง","วาฬ","เป็นสัตว์เลี้ยงลูกด้วยนม","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"เราใช้สิ่งใดส่องขยายวัตถุขนาดเล็กให้ดูใหญ่ขึ้น?","กระจกเงา|แว่นขยาย|ไม้บรรทัด|หน้าต่าง","แว่นขยาย","ใช้เลนส์นูนช่วยรวมแสง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"อาหารประจำชาติไทยที่เป็นซุปกุ้งรสเปรี้ยวเผ็ดคืออะไร?","ผัดไทย|ต้มยำกุ้ง|ข้าวมันไก่|ส้มตำ","ต้มยำกุ้ง","Tom Yum Goong","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"ไฟจราจรสีเหลืองหมายถึงอะไร?","ให้หยุด|ให้เตรียมตัวหยุด|ให้ไปได้|ให้เลี้ยว","ให้เตรียมตัวหยุด","Caution","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"ส่วนประกอบใดของพืชทำหน้าที่ดูดน้ำจากดิน?","ใบ|ดอก|ราก|ผล","ราก","อยู่ใต้ดิน","วิทยาศาสตร์","level-1|nature",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"เราควรใช้สิ่งใดสระผมเพื่อให้สะอาด?","สบู่|แชมพู|ยาสีฟัน|ผงซักฟอก","แชมพู","Shampoo","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"พยัญชนะไทยตัวแรกคือ ก.ไก่ แล้วตัวสุดท้ายคืออะไร?","ห|ฬ|อ|ฮ","ฮ","ฮ.นกฮูก","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"สัตว์ชนิดใดคอยาวและตัวสูงที่สุดในโลก?","ม้า|ยีราฟ|ช้าง|ลิง","ยีราฟ","กินใบไม้บนยอดไม้","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
"50 + 50 = ?","80|90|100|110","100","บวเลขง่ายๆ","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T03:40:00.000Z,2026-04-06T03:40:00.000Z
